,School,Year,schoolyear,Race,Gender,Disadvantaged,ESOL,Disabled,Passed
1,Albemarle,2010,1,Black,Female,0,0,0,1
2,Albemarle,2010,1,Black,Female,0,0,0,1
3,Albemarle,2010,1,Black,Female,0,0,0,1
4,Albemarle,2010,1,Black,Female,0,0,0,1
5,Albemarle,2010,1,Black,Female,0,0,0,1
6,Albemarle,2010,1,Black,Female,0,0,0,1
7,Albemarle,2010,1,Black,Female,0,0,0,1
8,Albemarle,2010,1,Black,Female,0,0,0,0
9,Albemarle,2010,1,Black,Female,0,0,0,0
10,Albemarle,2010,1,Black,Female,0,0,0,0
11,Albemarle,2010,1,White,Female,0,0,0,1
12,Albemarle,2010,1,White,Female,0,0,0,1
13,Albemarle,2010,1,White,Female,0,0,0,1
14,Albemarle,2010,1,White,Female,0,0,0,1
15,Albemarle,2010,1,White,Female,0,0,0,1
16,Albemarle,2010,1,White,Female,0,0,0,1
17,Albemarle,2010,1,White,Female,0,0,0,1
18,Albemarle,2010,1,White,Female,0,0,0,1
19,Albemarle,2010,1,White,Female,0,0,0,1
20,Albemarle,2010,1,White,Female,0,0,0,1
21,Albemarle,2010,1,White,Female,0,0,0,1
22,Albemarle,2010,1,White,Female,0,0,0,1
23,Albemarle,2010,1,White,Female,0,0,0,1
24,Albemarle,2010,1,White,Female,0,0,0,1
25,Albemarle,2010,1,White,Female,0,0,0,1
26,Albemarle,2010,1,White,Female,0,0,0,1
27,Albemarle,2010,1,White,Female,0,0,0,1
28,Albemarle,2010,1,White,Female,0,0,0,1
29,Albemarle,2010,1,White,Female,0,0,0,1
30,Albemarle,2010,1,White,Female,0,0,0,1
31,Albemarle,2010,1,White,Female,0,0,0,1
32,Albemarle,2010,1,White,Female,0,0,0,1
33,Albemarle,2010,1,White,Female,0,0,0,1
34,Albemarle,2010,1,White,Female,0,0,0,1
35,Albemarle,2010,1,White,Female,0,0,0,1
36,Albemarle,2010,1,White,Female,0,0,0,1
37,Albemarle,2010,1,White,Female,0,0,0,1
38,Albemarle,2010,1,White,Female,0,0,0,1
39,Albemarle,2010,1,White,Female,0,0,0,1
40,Albemarle,2010,1,White,Female,0,0,0,1
41,Albemarle,2010,1,White,Female,0,0,0,1
42,Albemarle,2010,1,White,Female,0,0,0,1
43,Albemarle,2010,1,White,Female,0,0,0,1
44,Albemarle,2010,1,White,Female,0,0,0,1
45,Albemarle,2010,1,White,Female,0,0,0,1
46,Albemarle,2010,1,White,Female,0,0,0,1
47,Albemarle,2010,1,White,Female,0,0,0,1
48,Albemarle,2010,1,White,Female,0,0,0,1
49,Albemarle,2010,1,White,Female,0,0,0,1
50,Albemarle,2010,1,White,Female,0,0,0,1
51,Albemarle,2010,1,White,Female,0,0,0,1
52,Albemarle,2010,1,White,Female,0,0,0,1
53,Albemarle,2010,1,White,Female,0,0,0,1
54,Albemarle,2010,1,White,Female,0,0,0,1
55,Albemarle,2010,1,White,Female,0,0,0,1
56,Albemarle,2010,1,White,Female,0,0,0,1
57,Albemarle,2010,1,White,Female,0,0,0,1
58,Albemarle,2010,1,White,Female,0,0,0,1
59,Albemarle,2010,1,White,Female,0,0,0,1
60,Albemarle,2010,1,White,Female,0,0,0,1
61,Albemarle,2010,1,White,Female,0,0,0,1
62,Albemarle,2010,1,White,Female,0,0,0,1
63,Albemarle,2010,1,White,Female,0,0,0,1
64,Albemarle,2010,1,White,Female,0,0,0,1
65,Albemarle,2010,1,White,Female,0,0,0,1
66,Albemarle,2010,1,White,Female,0,0,0,1
67,Albemarle,2010,1,White,Female,0,0,0,1
68,Albemarle,2010,1,White,Female,0,0,0,1
69,Albemarle,2010,1,White,Female,0,0,0,1
