School_Year,Variable
Western 2019,Intercept
Albemarle 2010,Intercept
Albemarle 2011,Intercept
Albemarle 2012,Intercept
Albemarle 2013,Intercept
Albemarle 2014,Intercept
Albemarle 2015,Intercept
Albemarle 2016,Intercept
Albemarle 2017,Intercept
Albemarle 2018,Intercept
Albemarle 2019,Intercept
Charlottesville 2010,Intercept
Charlottesville 2011,Intercept
Charlottesville 2012,Intercept
Charlottesville 2013,Intercept
Charlottesville 2014,Intercept
Charlottesville 2015,Intercept
Charlottesville 2016,Intercept
Charlottesville 2017,Intercept
Charlottesville 2018,Intercept
Charlottesville 2019,Intercept
Monticello 2010,Intercept
Monticello 2011,Intercept
Monticello 2012,Intercept
Monticello 2013,Intercept
Monticello 2014,Intercept
Monticello 2015,Intercept
Monticello 2016,Intercept
Monticello 2017,Intercept
Monticello 2018,Intercept
Monticello 2019,Intercept
Western 2010,Intercept
Western 2011,Intercept
Western 2012,Intercept
Western 2013,Intercept
Western 2014,Intercept
Western 2015,Intercept
Western 2016,Intercept
Western 2017,Intercept
Western 2018,Intercept
Western 2019,Discadvantaged
Albemarle 2010,Discadvantaged
Albemarle 2011,Discadvantaged
Albemarle 2012,Discadvantaged
Albemarle 2013,Discadvantaged
Albemarle 2014,Discadvantaged
Albemarle 2015,Discadvantaged
Albemarle 2016,Discadvantaged
Albemarle 2017,Discadvantaged
Albemarle 2018,Discadvantaged
Albemarle 2019,Discadvantaged
Charlottesville 2010,Discadvantaged
Charlottesville 2011,Discadvantaged
Charlottesville 2012,Discadvantaged
Charlottesville 2013,Discadvantaged
Charlottesville 2014,Discadvantaged
Charlottesville 2015,Discadvantaged
Charlottesville 2016,Discadvantaged
Charlottesville 2017,Discadvantaged
Charlottesville 2018,Discadvantaged
Charlottesville 2019,Discadvantaged
Monticello 2010,Discadvantaged
Monticello 2011,Discadvantaged
Monticello 2012,Discadvantaged
Monticello 2013,Discadvantaged
Monticello 2014,Discadvantaged
Monticello 2015,Discadvantaged
Monticello 2016,Discadvantaged
Monticello 2017,Discadvantaged
