,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
alpha[0],1.576,0.254,1.1,2.05,0.002,0.001,19832.0,19800.0,19827.0,19592.0,
alpha[1],2.667,0.338,2.015,3.288,0.002,0.002,19911.0,19911.0,19916.0,20237.0,
alpha[2],3.082,0.357,2.398,3.738,0.003,0.002,19882.0,19799.0,19882.0,19832.0,
alpha[3],1.986,0.225,1.56,2.412,0.002,0.001,19988.0,19801.0,19999.0,19591.0,
alpha[4],1.744,0.199,1.371,2.118,0.001,0.001,19545.0,19545.0,19542.0,20254.0,
alpha[5],1.543,0.256,1.068,2.024,0.002,0.001,18433.0,18433.0,18425.0,19631.0,
alpha[6],1.587,0.226,1.16,2.012,0.002,0.001,19847.0,19803.0,19849.0,19920.0,
alpha[7],1.739,0.223,1.33,2.171,0.002,0.001,19754.0,19754.0,19798.0,19755.0,
alpha[8],1.264,0.18,0.924,1.599,0.001,0.001,20379.0,20379.0,20368.0,19885.0,
alpha[9],1.274,0.204,0.894,1.663,0.001,0.001,19368.0,19351.0,19367.0,19546.0,
alpha[10],1.393,0.187,1.03,1.733,0.001,0.001,20075.0,20075.0,20068.0,19870.0,
alpha[11],1.947,0.243,1.494,2.406,0.002,0.001,19887.0,19716.0,19891.0,19033.0,
alpha[12],2.146,0.236,1.715,2.6,0.002,0.001,19659.0,19645.0,19658.0,19449.0,
alpha[13],1.749,0.201,1.371,2.127,0.001,0.001,20209.0,20209.0,20210.0,19681.0,
alpha[14],0.982,0.226,0.559,1.405,0.002,0.001,19996.0,19990.0,20000.0,19715.0,
alpha[15],1.541,0.229,1.124,1.98,0.002,0.001,20408.0,20408.0,20409.0,19795.0,
alpha[16],1.245,0.224,0.814,1.655,0.002,0.001,19600.0,19600.0,19592.0,19408.0,
alpha[17],1.666,0.243,1.228,2.143,0.002,0.001,19545.0,19545.0,19540.0,19916.0,
alpha[18],1.31,0.261,0.815,1.796,0.002,0.001,19855.0,19848.0,19851.0,19716.0,
alpha[19],1.85,0.261,1.341,2.318,0.002,0.001,20199.0,20169.0,20197.0,20046.0,
alpha[20],1.408,0.352,0.749,2.078,0.003,0.002,19166.0,19166.0,19169.0,19852.0,
alpha[21],2.551,0.296,1.999,3.108,0.002,0.001,20101.0,20101.0,20105.0,18546.0,
alpha[22],1.78,0.268,1.281,2.283,0.002,0.001,19353.0,19302.0,19351.0,19846.0,
alpha[23],1.049,0.204,0.673,1.439,0.001,0.001,20087.0,20087.0,20085.0,19792.0,
alpha[24],1.618,0.239,1.152,2.045,0.002,0.001,18719.0,18719.0,18681.0,18220.0,
alpha[25],2.237,0.307,1.67,2.822,0.002,0.002,20137.0,20137.0,20142.0,19847.0,
alpha[26],1.162,0.27,0.646,1.658,0.002,0.001,18714.0,18647.0,18711.0,18816.0,
alpha[27],1.179,0.265,0.687,1.688,0.002,0.001,20242.0,20173.0,20245.0,19679.0,
alpha[28],1.476,0.253,0.988,1.936,0.002,0.001,20484.0,20484.0,20481.0,19006.0,
alpha[29],1.25,0.262,0.762,1.75,0.002,0.001,19472.0,19386.0,19476.0,19882.0,
alpha[30],0.841,0.258,0.354,1.318,0.002,0.001,20098.0,19923.0,20094.0,19896.0,
alpha[31],3.142,0.41,2.371,3.901,0.003,0.002,19901.0,19803.0,19907.0,19827.0,
alpha[32],2.477,0.329,1.871,3.102,0.002,0.002,20363.0,20293.0,20363.0,19432.0,
alpha[33],1.823,0.267,1.334,2.337,0.002,0.001,20251.0,20251.0,20246.0,19970.0,
alpha[34],1.891,0.287,1.327,2.411,0.002,0.001,19115.0,18864.0,19135.0,19304.0,
alpha[35],1.953,0.241,1.5,2.405,0.002,0.001,19384.0,19384.0,19381.0,19710.0,
alpha[36],1.575,0.248,1.119,2.048,0.002,0.001,19813.0,19750.0,19818.0,19922.0,
alpha[37],1.775,0.256,1.274,2.241,0.002,0.001,18846.0,18802.0,18842.0,20086.0,
alpha[38],1.775,0.26,1.312,2.287,0.002,0.001,19845.0,19829.0,19846.0,19248.0,
alpha[39],1.817,0.275,1.317,2.34,0.002,0.001,20073.0,20073.0,20080.0,19320.0,
Beta1[0],0.025,1.083,-2.017,2.051,0.008,0.006,19012.0,19012.0,19006.0,18976.0,
Beta1[1],-0.003,1.096,-2.021,2.098,0.008,0.005,20485.0,20285.0,20486.0,19883.0,
Beta1[2],0.011,1.078,-2.001,2.026,0.008,0.005,20116.0,19540.0,20116.0,20089.0,
Beta1[3],0.072,0.511,-0.863,1.065,0.004,0.003,18944.0,18944.0,18932.0,19669.0,
Beta1[4],-0.634,0.481,-1.52,0.288,0.003,0.002,20079.0,20079.0,20082.0,19164.0,
Beta1[5],0.0,1.073,-1.945,2.079,0.008,0.005,19793.0,19793.0,19799.0,19878.0,
Beta1[6],0.01,1.101,-2.086,2.004,0.008,0.006,19566.0,19566.0,19565.0,19844.0,
Beta1[7],-0.376,0.607,-1.522,0.761,0.004,0.003,19825.0,19378.0,19840.0,19462.0,
Beta1[8],-0.468,0.321,-1.072,0.132,0.002,0.002,19648.0,19612.0,19651.0,19392.0,
Beta1[9],-0.966,0.355,-1.649,-0.321,0.003,0.002,19459.0,19334.0,19463.0,18913.0,
Beta1[10],-0.51,0.285,-1.051,0.025,0.002,0.002,17860.0,17860.0,17853.0,19877.0,
Beta1[11],-0.797,0.319,-1.376,-0.174,0.002,0.002,19474.0,19382.0,19472.0,19790.0,
Beta1[12],-0.524,0.301,-1.091,0.041,0.002,0.001,20374.0,20374.0,20374.0,19392.0,
Beta1[13],-0.864,0.269,-1.389,-0.38,0.002,0.001,19670.0,19670.0,19661.0,18681.0,
Beta1[14],-0.554,0.317,-1.151,0.046,0.002,0.002,20299.0,20151.0,20295.0,19709.0,
Beta1[15],-0.573,0.338,-1.22,0.05,0.002,0.002,19776.0,19776.0,19775.0,19707.0,
Beta1[16],-0.634,0.298,-1.185,-0.064,0.002,0.001,20079.0,20002.0,20078.0,19631.0,
Beta1[17],-0.734,0.3,-1.309,-0.181,0.002,0.001,20310.0,20238.0,20310.0,20391.0,
Beta1[18],-0.676,0.338,-1.302,-0.037,0.002,0.002,19711.0,19629.0,19703.0,19457.0,
Beta1[19],-0.679,0.353,-1.312,0.011,0.002,0.002,20146.0,20089.0,20142.0,20022.0,
Beta1[20],-0.421,0.447,-1.274,0.406,0.003,0.002,19723.0,19723.0,19721.0,19627.0,
Beta1[21],1.124,0.761,-0.313,2.566,0.005,0.004,20164.0,20136.0,20174.0,19879.0,
Beta1[22],-1.035,0.455,-1.881,-0.168,0.003,0.002,20344.0,20277.0,20346.0,20039.0,
Beta1[23],-0.906,0.403,-1.655,-0.141,0.003,0.002,19692.0,19446.0,19696.0,19087.0,
Beta1[24],-1.259,0.342,-1.913,-0.625,0.002,0.002,20399.0,20106.0,20385.0,18653.0,
Beta1[25],-0.28,0.725,-1.611,1.102,0.005,0.004,19916.0,19916.0,19928.0,19164.0,
Beta1[26],-0.329,0.504,-1.274,0.61,0.004,0.003,19656.0,19656.0,19656.0,19837.0,
Beta1[27],0.261,0.532,-0.76,1.231,0.004,0.003,19901.0,19407.0,19907.0,18706.0,
Beta1[28],-0.847,0.479,-1.759,0.036,0.003,0.002,19562.0,19562.0,19558.0,19731.0,
Beta1[29],-0.029,1.083,-2.135,1.933,0.008,0.006,20375.0,18490.0,20392.0,19286.0,
Beta1[30],-0.574,0.6,-1.69,0.565,0.004,0.003,20469.0,19993.0,20468.0,19763.0,
Beta1[31],0.477,0.885,-1.178,2.149,0.006,0.005,18952.0,18491.0,18960.0,19321.0,
Beta1[32],0.01,1.068,-1.969,2.019,0.008,0.005,20078.0,19163.0,20094.0,20125.0,
Beta1[33],-0.022,1.099,-2.146,1.989,0.008,0.006,19129.0,19129.0,19155.0,18733.0,
Beta1[34],0.028,1.069,-1.937,2.085,0.008,0.006,18338.0,18338.0,18341.0,19220.0,
Beta1[35],-0.224,0.708,-1.543,1.119,0.005,0.004,19790.0,19790.0,19793.0,19956.0,
Beta1[36],0.008,1.078,-1.988,2.086,0.008,0.005,19436.0,19436.0,19440.0,19916.0,
Beta1[37],0.007,1.096,-2.041,2.067,0.008,0.006,19839.0,19839.0,19838.0,19879.0,
Beta1[38],-0.008,1.087,-1.998,2.068,0.008,0.006,20293.0,18306.0,20284.0,18930.0,
Beta1[39],-0.022,1.067,-1.947,2.072,0.007,0.005,20508.0,19242.0,20512.0,20109.0,
Beta2[0],0.001,1.077,-1.94,2.099,0.008,0.005,19857.0,19820.0,19857.0,19795.0,
Beta2[1],-0.001,1.091,-1.998,2.11,0.008,0.005,20073.0,20073.0,20165.0,19750.0,
Beta2[2],0.025,1.08,-2.016,2.006,0.008,0.006,18136.0,18136.0,18141.0,19711.0,
Beta2[3],-0.004,1.076,-2.022,2.025,0.008,0.005,19306.0,19306.0,19302.0,19430.0,
Beta2[4],0.016,1.081,-1.948,2.072,0.008,0.005,20397.0,19612.0,20409.0,19918.0,
Beta2[5],-0.017,1.082,-2.003,2.074,0.008,0.005,20192.0,20161.0,20190.0,20006.0,
Beta2[6],0.001,1.06,-1.994,1.94,0.008,0.005,19133.0,19133.0,19146.0,18733.0,
Beta2[7],0.001,1.124,-2.202,2.034,0.008,0.006,20370.0,19296.0,20366.0,20046.0,
Beta2[8],0.736,0.639,-0.501,1.899,0.004,0.003,20334.0,19958.0,20343.0,19836.0,
Beta2[9],-0.011,1.075,-2.001,2.052,0.008,0.005,20053.0,20053.0,20047.0,19837.0,
Beta2[10],-0.001,1.08,-2.049,2.018,0.008,0.006,19189.0,19189.0,19148.0,19767.0,
Beta2[11],-0.0,1.084,-2.059,2.006,0.008,0.006,19222.0,18980.0,19210.0,18915.0,
Beta2[12],0.008,1.08,-1.984,2.077,0.008,0.005,19592.0,19592.0,19589.0,19665.0,
Beta2[13],-0.014,1.049,-1.981,1.953,0.007,0.005,19739.0,19739.0,19738.0,19684.0,
Beta2[14],-0.028,1.083,-2.048,2.025,0.008,0.006,19764.0,18992.0,19769.0,18913.0,
Beta2[15],0.015,1.097,-2.066,2.045,0.008,0.006,19421.0,19421.0,19423.0,19711.0,
Beta2[16],-0.003,1.069,-1.993,2.015,0.008,0.005,19602.0,19410.0,19606.0,18561.0,
Beta2[17],0.009,1.074,-1.969,2.046,0.008,0.005,19576.0,19576.0,19574.0,19670.0,
Beta2[18],0.012,1.077,-2.084,1.989,0.008,0.005,19759.0,19379.0,19751.0,19015.0,
Beta2[19],-0.019,1.066,-1.999,2.012,0.008,0.005,19122.0,19122.0,19161.0,20004.0,
Beta2[20],-0.008,1.067,-2.062,1.973,0.008,0.005,19689.0,19076.0,19689.0,18460.0,
Beta2[21],0.002,1.082,-1.942,2.123,0.008,0.006,19994.0,19080.0,19996.0,19581.0,
Beta2[22],0.008,1.092,-2.025,2.075,0.008,0.006,19344.0,19344.0,19347.0,19201.0,
Beta2[23],-0.018,1.082,-2.024,2.039,0.008,0.006,20192.0,18724.0,20187.0,19560.0,
Beta2[24],0.017,1.066,-1.942,2.011,0.008,0.005,19177.0,19177.0,19177.0,19918.0,
Beta2[25],-0.0,1.078,-2.014,2.028,0.008,0.005,19881.0,19871.0,19884.0,19400.0,
Beta2[26],0.03,1.086,-2.016,2.056,0.008,0.005,20140.0,19848.0,20136.0,19508.0,
Beta2[27],-0.003,1.06,-2.005,1.96,0.007,0.005,20356.0,19779.0,20353.0,19754.0,
Beta2[28],-0.005,1.08,-1.944,2.11,0.008,0.005,19660.0,19660.0,19658.0,19607.0,
Beta2[29],-0.01,1.07,-2.053,1.972,0.008,0.005,19600.0,19600.0,19596.0,19960.0,
Beta2[30],-0.004,1.083,-2.023,2.068,0.008,0.005,19791.0,19659.0,19767.0,19957.0,
Beta2[31],0.018,1.103,-2.077,2.079,0.008,0.006,18699.0,18699.0,18715.0,19626.0,
Beta2[32],-0.011,1.07,-2.013,1.979,0.008,0.005,19831.0,19831.0,19821.0,19508.0,
Beta2[33],0.005,1.066,-1.973,2.028,0.008,0.005,19444.0,19444.0,19456.0,19653.0,
Beta2[34],0.023,1.078,-1.954,2.094,0.008,0.005,19914.0,19914.0,19906.0,20120.0,
